 written on 22Nov2021 at 17:14:40 
          14
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
    1    1    0    5    3    0.077832    0.000000
    1    1    0    6    3   -0.298457    0.000000
    1    1    0    7    3    0.077832    0.000000
    1    1    0    8    3    0.078205   -0.000001
    1    1    0    9    3   -0.078467   -0.000002
    1    1    0   10    3    0.064122    0.000000
    1    1    0   11    3   -0.034999    0.000000
    1    1    0   12    3    0.018075   -0.000001
    1    1    0   13    3   -0.000001    0.000002
    1    1    0   14    3    0.000613    0.000008
    1    1    0    1    4   -1.394624    0.000000
    1    1    0    2    4    0.274279    0.000000
    1    1    0    3    4    0.260194   -0.000000
    1    1    0    4    4    0.363689   -0.000000
    1    1    0    5    4   -0.166485   -0.000000
    1    1    0    6    4    0.019954    0.000000
    1    1    0    7    4    0.045731   -0.000000
    1    1    0    8    4    0.045692   -0.000000
    1    1    0    9    4   -0.049849    0.000000
    1    1    0   10    4   -0.131711   -0.000000
    1    1    0   11    4   -0.060328   -0.000000
    1    1    0   12    4    0.007645    0.000006
    1    1    0   13    4    0.019798   -0.000002
    1    1    0   14    4    0.011507    0.000003
    1    1    0    1    5    0.046706   -0.000000
    1    1    0    2    5    0.045735    0.000000
    1    1    0    3    5    0.077832   -0.000000
    1    1    0    4    5   -0.166485    0.000000
    1    1    0    5    5    0.363689   -0.000000
    1    1    0    6    5    0.260194    0.000000
    1    1    0    7    5    0.274279    0.000000
    1    1    0    8    5   -1.394624    0.000000
    1    1    0    9    5    0.050818    0.000000
    1    1    0   10    5   -0.122455    0.000000
    1    1    0   11    5   -0.071120   -0.000000
    1    1    0   12    5   -0.049849   -0.000000
    1    1    0   13    5    0.131711   -0.000000
    1    1    0   14    5    0.060328   -0.000000
    1    1    0    1    6    0.021316   -0.000000
    1    1    0    2    6    0.019956   -0.000000
    1    1    0    3    6   -0.298457   -0.000000
    1    1    0    4    6    0.019954   -0.000000
    1    1    0    5    6    0.260194   -0.000000
    1    1    0    6    6    0.183082   -0.000000
    1    1    0    7    6   -0.020674   -0.000000
    1    1    0    8    6    0.265315   -0.000000
    1    1    0    9    6   -0.043402   -0.000000
    1    1    0   10    6    0.000001    0.000000
    1    1    0   11    6    0.002596    0.000000
    1    1    0   12    6   -0.078467    0.000001
    1    1    0   13    6   -0.064122   -0.000000
    1    1    0   14    6    0.034999   -0.000000
    1    1    0    1    7    0.046704   -0.000000
    1    1    0    2    7   -0.166489    0.000000
    1    1    0    3    7    0.077832   -0.000000
    1    1    0    4    7    0.045731    0.000000
    1    1    0    5    7    0.274279   -0.000000
    1    1    0    6    7   -0.020674    0.000000
    1    1    0    7    7    0.130218   -0.000000
    1    1    0    8    7    0.271843    0.000000
    1    1    0    9    7    0.050816   -0.000000
    1    1    0   10    7    0.122440   -0.000000
    1    1    0   11    7   -0.071071    0.000000
    1    1    0   12    7    0.024294   -0.000000
    1    1    0   13    7   -0.160248   -0.000000
    1    1    0   14    7    0.095241    0.000000
    1    1    0    1    8   -0.165600   -0.000000
    1    1    0    2    8    0.045694    0.000000
    1    1    0    3    8    0.078205    0.000001
    1    1    0    4    8    0.045692    0.000000
    1    1    0    5    8   -1.394624   -0.000000
    1    1    0    6    8    0.265315    0.000000
    1    1    0    7    8    0.271843   -0.000000
    1    1    0    8    8    0.363043   -0.000000
    1    1    0    9    8    0.055916   -0.000000
    1    1    0   10    8   -0.000001   -0.000000
    1    1    0   11    8    0.140994    0.000000
    1    1    0   12    8   -0.045075   -0.000000
    1    1    0   13    8    0.014075    0.000000
    1    1    0   14    8   -0.147876   -0.000000
    1    1    0    1    9   -0.045075   -0.000000
    1    1    0    2    9    0.024294   -0.000000
    1    1    0    3    9   -0.078467    0.000002
    1    1    0    4    9   -0.049849   -0.000000
    1    1    0    5    9    0.050818   -0.000000
    1    1    0    6    9   -0.043402    0.000000
    1    1    0    7    9    0.050816    0.000000
    1    1    0    8    9    0.055916    0.000000
    1    1    0    9    9    0.104341   -0.000000
    1    1    0   10    9    0.011575   -0.000000
    1    1    0   11    9   -0.006334   -0.000000
    1    1    0   12    9    0.067160    0.000000
    1    1    0   13    9   -0.000001    0.000000
    1    1    0   14    9    0.000982    0.000000
    1    1    0    1   10   -0.014075   -0.000000
    1    1    0    2   10    0.160248    0.000000
    1    1    0    3   10    0.064122   -0.000000
    1    1    0    4   10   -0.131711    0.000000
    1    1    0    5   10   -0.122455   -0.000000
    1    1    0    6   10    0.000001   -0.000000
    1    1    0    7   10    0.122440    0.000000
    1    1    0    8   10   -0.000001    0.000000
    1    1    0    9   10    0.011575    0.000000
    1    1    0   10   10   -0.044095   -0.000000
    1    1    0   11   10    0.072509    0.000000
    1    1    0   12   10    0.000000    0.000000
    1    1    0   13   10   -0.024344   -0.000000
    1    1    0   14   10   -0.000000    0.000000
    1    1    0    1   11    0.147876   -0.000000
    1    1    0    2   11   -0.095241    0.000000
    1    1    0    3   11   -0.034999   -0.000000
    1    1    0    4   11   -0.060328    0.000000
    1    1    0    5   11   -0.071120    0.000000
    1    1    0    6   11    0.002596   -0.000000
    1    1    0    7   11   -0.071071   -0.000000
    1    1    0    8   11    0.140994   -0.000000
    1    1    0    9   11   -0.006334    0.000000
    1    1    0   10   11    0.072509   -0.000000
    1    1    0   11   11    0.039021   -0.000000
    1    1    0   12   11   -0.000781   -0.000000
    1    1    0   13   11   -0.000000    0.000000
    1    1    0   14   11   -0.024261   -0.000000
    1    1    0    1   12    0.008538   -0.000002
    1    1    0    2   12    0.007646   -0.000005
    1    1    0    3   12    0.018075    0.000001
    1    1    0    4   12    0.007645   -0.000006
    1    1    0    5   12   -0.049849    0.000000
    1    1    0    6   12   -0.078467   -0.000001
    1    1    0    7   12    0.024294    0.000000
    1    1    0    8   12   -0.045075    0.000000
    1    1    0    9   12    0.067160   -0.000000
    1    1    0   10   12    0.000000   -0.000000
    1    1    0   11   12   -0.000781    0.000000
    1    1    0   12   12    0.104341   -0.000000
    1    1    0   13   12   -0.011575    0.000000
    1    1    0   14   12    0.006334   -0.000000
    1    1    0    1   13    0.000001   -0.000002
    1    1    0    2   13   -0.019799   -0.000001
    1    1    0    3   13   -0.000001   -0.000002
    1    1    0    4   13    0.019798    0.000002
    1    1    0    5   13    0.131711    0.000000
    1    1    0    6   13   -0.064122    0.000000
    1    1    0    7   13   -0.160248    0.000000
    1    1    0    8   13    0.014075   -0.000000
    1    1    0    9   13   -0.000001   -0.000000
    1    1    0   10   13   -0.024344    0.000000
    1    1    0   11   13   -0.000000   -0.000000
    1    1    0   12   13   -0.011575   -0.000000
    1    1    0   13   13   -0.044095   -0.000000
    1    1    0   14   13    0.072509    0.000000
    1    1    0    1   14   -0.022750   -0.000001
    1    1    0    2   14    0.011501    0.000002
    1    1    0    3   14    0.000613   -0.000008
    1    1    0    4   14    0.011507   -0.000003
    1    1    0    5   14    0.060328    0.000000
    1    1    0    6   14    0.034999    0.000000
    1    1    0    7   14    0.095241   -0.000000
    1    1    0    8   14   -0.147876    0.000000
    1    1    0    9   14    0.000982   -0.000000
    1    1    0   10   14   -0.000000   -0.000000
    1    1    0   11   14   -0.024261    0.000000
    1    1    0   12   14    0.006334    0.000000
    1    1    0   13   14    0.072509   -0.000000
    1    1    0   14   14    0.039021   -0.000000
    1    1    1    1    1   -0.072809    0.000000
    1    1    1    2    1   -0.019332    0.000000
    1    1    1    3    1    0.064203    0.000000
    1    1    1    4    1   -0.036254   -0.000002
    1    1    1    5    1    0.045692    0.000000
    1    1    1    6    1    0.078205    0.000000
    1    1    1    7    1    0.045694    0.000000
    1    1    1    8    1   -0.165600   -0.000000
    1    1    1    9    1   -0.021000    0.000006
    1    1    1   10    1   -0.016150    0.000000
    1    1    1   11    1   -0.138148   -0.000000
    1    1    1   12    1    0.055916   -0.000000
    1    1    1   13    1    0.000001   -0.000000
    1    1    1   14    1   -0.140994    0.000000
    1    1    1    1    2   -0.019332   -0.000000
    1    1    1    2    2    0.093010    0.000000
    1    1    1    3    2   -0.114974    0.000001
    1    1    1    4    2   -0.019357    0.000000
    1    1    1    5    2    0.045731   -0.000000
    1    1    1    6    2    0.077832   -0.000000
    1    1    1    7    2   -0.166489    0.000000
    1    1    1    8    2    0.046704   -0.000000
    1    1    1    9    2    0.030385    0.000005
    1    1    1   10    2    0.042522    0.000000
    1    1    1   11    2   -0.025519   -0.000000
    1    1    1   12    2    0.050816    0.000000
    1    1    1   13    2   -0.122440    0.000000
    1    1    1   14    2    0.071071    0.000000
    1    1    1    1    3    0.064203   -0.000000
    1    1    1    2    3   -0.114974   -0.000001
    1    1    1    3    3   -0.026471    0.000000
    1    1    1    4    3    0.063975   -0.000002
    1    1    1    5    3    0.019954    0.000000
    1    1    1    6    3   -0.298457    0.000000
    1    1    1    7    3    0.019956    0.000000
    1    1    1    8    3    0.021316   -0.000000
    1    1    1    9    3    0.243512   -0.000002
    1    1    1   10    3   -0.036208   -0.000000
    1    1    1   11    3    0.016047   -0.000000
    1    1    1   12    3   -0.043402    0.000000
    1    1    1   13    3   -0.000001   -0.000000
    1    1    1   14    3   -0.002596   -0.000000
    1    1    1    1    4   -0.036254    0.000002
    1    1    1    2    4   -0.019357   -0.000000
    1    1    1    3    4    0.063975    0.000002
    1    1    1    4    4   -0.072566    0.000000
    1    1    1    5    4   -0.166485    0.000000
    1    1    1    6    4    0.077832   -0.000000
    1    1    1    7    4    0.045735   -0.000000
    1    1    1    8    4    0.046706   -0.000000
    1    1    1    9    4   -0.015680    0.000003
    1    1    1   10    4    0.111714   -0.000001
    1    1    1   11    4    0.083501   -0.000001
    1    1    1   12    4    0.050818    0.000000
    1    1    1   13    4    0.122455    0.000000
    1    1    1   14    4    0.071120   -0.000000
    1    1    1    1    5    0.045692   -0.000000
    1    1    1    2    5    0.045731    0.000000
    1    1    1    3    5    0.019954   -0.000000
    1    1    1    4    5   -0.166485   -0.000000
    1    1    1    5    5   -0.072566    0.000000
    1    1    1    6    5    0.063975    0.000003
    1    1    1    7    5   -0.019357    0.000001
    1    1    1    8    5   -0.036254    0.000004
    1    1    1    9    5    0.007645   -0.000002
    1    1    1   10    5   -0.019798   -0.000004
    1    1    1   11    5   -0.011507    0.000001
    1    1    1   12    5   -0.015680   -0.000008
    1    1    1   13    5   -0.111714    0.000001
    1    1    1   14    5   -0.083501    0.000000
    1    1    1    1    6    0.078205   -0.000000
    1    1    1    2    6    0.077832    0.000000
    1    1    1    3    6   -0.298457   -0.000000
    1    1    1    4    6    0.077832    0.000000
    1    1    1    5    6    0.063975   -0.000003
    1    1    1    6    6   -0.026471    0.000000
    1    1    1    7    6   -0.114974   -0.000001
    1    1    1    8    6    0.064203    0.000001
    1    1    1    9    6    0.018075    0.000001
    1    1    1   10    6    0.000001   -0.000001
    1    1    1   11    6   -0.000613   -0.000009
    1    1    1   12    6    0.243512    0.000002
    1    1    1   13    6    0.036208    0.000000
    1    1    1   14    6   -0.016047    0.000000
    1    1    1    1    7    0.045694   -0.000000
    1    1    1    2    7   -0.166489   -0.000000
    1    1    1    3    7    0.019956   -0.000000
    1    1    1    4    7    0.045735    0.000000
    1    1    1    5    7   -0.019357   -0.000001
    1    1    1    6    7   -0.114974    0.000001
    1    1    1    7    7    0.093010    0.000000
    1    1    1    8    7   -0.019332    0.000003
    1    1    1    9    7    0.007646   -0.000003
    1    1    1   10    7    0.019799    0.000002
    1    1    1   11    7   -0.011501   -0.000004
    1    1    1   12    7    0.030385   -0.000005
    1    1    1   13    7   -0.042522    0.000000
    1    1    1   14    7    0.025519   -0.000001
    1    1    1    1    8   -0.165600    0.000000
    1    1    1    2    8    0.046704    0.000000
    1    1    1    3    8    0.021316    0.000000
    1    1    1    4    8    0.046706    0.000000
    1    1    1    5    8   -0.036254   -0.000004
    1    1    1    6    8    0.064203   -0.000001
    1    1    1    7    8   -0.019332   -0.000003
    1    1    1    8    8   -0.072809    0.000000
    1    1    1    9    8    0.008538   -0.000006
    1    1    1   10    8   -0.000001    0.000003
    1    1    1   11    8    0.022750    0.000000
    1    1    1   12    8   -0.021000   -0.000002
    1    1    1   13    8    0.016150   -0.000000
    1    1    1   14    8    0.138148    0.000003
